Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kazakhstan,MtCO2e,81.53,86.02,89.99,76.68,60.99,59.93,49.77,43.90,43.48,36.27,21.54,28.32,21.16,26.49,34.35,39.26,28.46,40.53,69.87,54.90,60.13,72.11,67.77,74.71,53.40,43.53,43.53,43.20,38.50,33.13
Nigeria,MtCO2e,5.38,5.38,6.14,5.76,5.04,4.83,5.55,5.35,5.78,6.20,6.48,6.24,6.42,11.47,10.07,9.52,9.96,11.42,14.21,11.85,12.61,19.23,20.95,24.10,25.74,27.27,28.84,28.69,31.12,32.62
Kuwait,MtCO2e,4.56,1.24,5.77,7.75,7.05,7.33,6.34,6.27,8.54,7.90,10.29,9.84,9.78,11.79,11.77,15.27,14.93,12.34,14.77,15.73,16.96,19.69,20.84,22.68,21.26,23.92,26.44,28.85,29.09,31.40
Bangladesh,MtCO2e,2.45,1.64,1.63,1.61,2.05,3.49,3.25,4.04,3.35,3.54,5.03,5.86,6.22,6.76,5.37,5.95,6.58,7.33,8.46,9.68,10.78,11.04,12.21,13.02,13.33,20.32,18.48,21.54,22.42,30.15
Singapore,MtCO2e,0.87,2.48,4.15,5.82,7.50,9.06,9.40,9.80,10.19,10.58,13.92,14.01,14.13,14.71,15.05,15.32,15.55,15.83,16.04,18.66,19.82,20.90,21.34,23.39,24.82,25.56,26.37,29.43,28.56,29.21
Netherlands,MtCO2e,44.82,42.28,43.01,44.26,44.78,42.96,46.16,44.88,44.67,39.68,37.51,34.20,35.61,33.88,33.83,33.39,34.42,33.61,28.31,26.51,28.10,26.97,27.81,27.09,26.65,27.05,28.71,29.45,28.90,27.87
Colombia,MtCO2e,15.16,15.69,16.21,18.07,19.64,19.42,20.11,21.19,20.06,18.34,20.35,20.25,20.49,19.56,19.29,20.76,19.88,21.03,23.17,20.55,21.44,25.58,23.04,26.00,26.41,24.81,25.67,26.73,27.59,27.14
Belgium,MtCO2e,34.70,35.79,33.67,31.80,34.37,32.99,33.41,34.60,35.87,36.50,37.86,39.06,32.85,32.72,30.62,28.15,28.29,26.99,26.81,24.82,26.39,24.02,23.83,25.20,25.19,24.65,25.44,24.32,24.85,23.89
Venezuela,MtCO2e,32.80,34.49,31.91,34.70,34.48,36.68,39.04,40.43,39.65,33.24,32.33,33.46,36.18,37.23,38.92,38.93,39.10,23.60,29.46,31.41,47.07,45.26,47.63,44.43,40.99,30.12,28.79,30.57,30.29,23.15
Qatar,MtCO2e,3.27,3.49,3.68,3.78,3.83,3.91,4.08,4.20,4.43,4.56,5.40,5.49,8.08,7.03,8.70,8.19,8.56,11.39,12.02,11.08,11.96,10.66,15.66,15.35,17.79,19.02,20.12,19.47,19.42,22.44
Iraq,MtCO2e,12.12,9.14,9.70,10.64,11.41,11.27,11.31,10.95,11.12,12.71,13.57,13.96,13.24,8.65,9.32,9.07,9.18,11.07,10.61,11.37,12.36,14.24,20.30,19.47,15.69,15.28,16.17,17.23,19.24,20.38
Uzbekistan,MtCO2e,2.13,2.63,4.97,4.52,3.78,16.82,13.80,10.98,19.16,19.43,20.02,20.46,21.26,20.66,21.10,20.61,21.53,21.39,22.47,20.79,23.23,23.33,19.92,18.87,17.32,16.32,17.27,18.58,18.26,19.87
Israel,MtCO2e,5.02,5.31,4.00,4.99,5.45,6.23,6.61,6.49,7.45,8.12,8.66,8.42,8.65,8.70,8.94,9.35,10.10,10.88,12.07,12.51,14.40,12.67,13.34,17.10,17.64,17.01,16.97,18.39,18.14,19.41
Oman,MtCO2e,2.61,6.24,5.12,3.71,3.00,3.75,3.42,2.27,1.92,3.65,4.12,4.82,6.08,6.37,5.92,6.08,12.73,14.38,11.15,10.72,10.99,12.49,13.80,14.08,15.57,16.42,18.36,18.53,18.52,19.00
Chile,MtCO2e,7.40,7.82,8.81,9.32,9.30,10.47,11.31,14.67,12.94,12.44,12.81,13.70,12.95,13.36,13.25,13.17,14.82,15.12,15.50,14.77,17.45,17.77,15.43,16.68,17.74,18.78,19.05,18.40,18.48,18.78
