Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ireland,MtCO2e,5.03,5.22,5.60,5.64,5.86,6.02,6.99,7.35,8.67,9.58,10.66,11.16,11.36,11.57,12.29,12.99,14.22,14.56,13.73,12.46,11.64,11.03,10.82,10.98,11.42,11.55,12.23,11.97,12.16,12.10
Finland,MtCO2e,12.03,11.71,11.66,11.42,11.88,11.66,11.38,12.00,12.16,12.48,12.04,12.19,12.37,12.58,12.92,12.94,13.13,13.47,12.84,12.28,12.79,12.62,12.31,12.16,11.08,11.07,12.22,11.66,11.86,11.47
Kenya,MtCO2e,2.77,2.83,2.63,2.45,2.34,2.65,2.78,2.75,2.82,2.77,2.80,2.75,2.87,2.57,2.83,2.96,3.32,3.35,3.46,4.31,5.16,4.77,5.07,6.03,6.74,8.37,9.14,8.91,9.52,9.79
Guatemala,MtCO2e,1.75,1.83,1.92,2.10,2.23,2.79,2.78,2.94,3.51,3.68,3.94,4.62,5.02,5.01,4.87,5.25,5.43,5.75,5.25,5.98,5.90,5.77,5.80,6.09,6.51,7.45,8.09,8.36,8.73,9.56
Jordan,MtCO2e,2.80,2.59,2.74,2.82,2.82,3.08,3.14,3.29,3.33,3.41,3.69,3.80,3.87,3.93,4.51,4.97,4.89,5.23,4.76,5.29,5.36,5.48,7.05,7.30,7.23,8.03,8.51,9.36,9.24,9.43
Ghana,MtCO2e,1.66,1.54,1.84,1.86,1.93,2.10,2.30,2.40,2.86,3.18,3.02,3.01,3.49,3.24,3.75,3.70,3.75,3.95,4.27,5.19,5.29,5.89,7.03,7.44,7.49,8.12,7.51,7.28,8.28,8.75
Lebanon,MtCO2e,1.93,2.41,3.34,3.90,3.66,4.32,4.48,4.31,4.61,4.39,4.14,3.87,3.88,4.14,4.16,4.19,4.03,3.17,4.60,5.30,5.23,5.24,8.35,6.92,7.34,8.59,9.12,9.60,8.36,8.68
Ethiopia,MtCO2e,0.95,0.95,0.74,0.90,1.00,1.12,1.24,1.31,1.44,1.48,1.63,2.03,2.12,2.21,2.39,2.16,2.30,2.50,2.59,2.70,2.76,2.92,3.32,3.88,4.32,4.81,5.85,6.57,7.29,7.89
Dominican Republic,MtCO2e,2.37,2.34,2.52,2.73,3.24,3.61,3.99,4.58,5.02,5.34,5.48,5.49,5.89,5.41,5.59,5.92,6.02,6.11,5.58,5.79,5.90,6.22,6.74,5.95,5.19,6.30,6.81,6.69,7.36,7.89
Costa Rica,MtCO2e,1.63,1.69,2.45,2.53,2.66,2.65,2.68,2.74,3.04,3.15,3.05,3.25,3.60,3.68,3.95,3.87,4.07,4.38,4.49,4.55,4.68,4.79,4.92,5.00,5.10,5.45,5.82,5.94,6.03,6.13
North Korea,MtCO2e,5.74,4.39,3.58,3.21,2.17,2.59,2.09,1.16,2.17,0.91,1.75,1.61,1.61,1.57,1.58,1.34,1.02,1.22,1.25,1.35,1.36,1.37,1.35,1.48,1.37,1.44,1.48,4.92,4.67,5.09
