"unique_id","DOI","file_name"
2914,"10.1016/j.enpol.2012.05.005","id_2914_khatiwada_2012"
2919,"10.4028/www.scientific.net/AMM.361-363.123","id_2919_li_2013"
3033,"10.1088/1755-1315/601/1/012046","id_3033_yang_2020"
3190,"10.1080/1540496X.2016.1152801","id_3190_zhang_2016"
3267,"10.1111/gcb.15897","id_3267_rodrigues_2021"
3271,"10.1016/j.erss.2017.06.040","id_3271_khanam_2017"
3286,"10.3390/en12122254","id_3286_siksnelyte_2019"
3287,"10.1016/j.energy.2015.05.087","id_3287_walmsley_2015"
3289,NA,"id_3289_bennakhi_2019"
3313,"10.4271/2010-01-2306","id_3313_cunningham_2010"
3318,"10.6036/9694","id_3318_detorreminguela_2020"
3321,NA,"id_3321_partridge_2014"
3328,"10.1016/j.enpol.2014.12.006","id_3328_yang_2015"
3334,"10.1016/j.energy.2013.11.005","id_3334_dong_2014"
3335,"10.2478/ttj-2021-0001","id_3335_baxter_2021"
3339,NA,"id_3339_sreekanth_2012"
3358,"10.1016/j.energy.2014.11.009","id_3358_wang_2015"
3362,"10.1115/POWER2016-59457","id_3362_ebrahimi_2016"
3370,"10.1016/j.enpol.2014.04.020","id_3370_ouellette_2014"
3375,"10.15302/J-FEM-2017101","id_3375_zou_2017"
3376,"10.1088/1742-6596/1378/4/042023","id_3376_olanrewaju_2019"
3384,"10.3141/2287-11","id_3384_brisson_2012"
3385,"10.3141/2287-11","id_3385_brisson_2012"
3405,"10.3303/CET1756070","id_3405_phang_2017"
3440,"10.1016/j.enpol.2014.02.012","id_3440_kay_2014"
3469,"10.1007/978-3-642-22266-5_45","id_3469_rd_2012"
3479,"10.1080/14693062.2020.1740149","id_3479_pradhan_2020"
3489,"10.1016/j.envsci.2014.07.009","id_3489_wu_2014"
3644,"10.1186/s13021-020-00163-2","id_3644_han_2020"
3673,"10.2118/186966-ms","id_3673_jiang_2017"
3692,"10.4337/9781783477173.00006","id_3692_massetti_2014"
3725,"10.3141/2302-11","id_3725_newmark_2012"
3726,"10.3141/2302-11","id_3726_newmark_2012"
3729,"10.1371/journal.pone.0029507","id_3729_gardali_2012"
3838,"10.1115/DETC2016-59119","id_3838_hamza_2016"
3863,NA,"id_3863_mitchell_2011"
3903,NA,"id_3903_crowe_2012"
4002,"10.1061/9780784413364.021","id_4002_lower_2014"
4081,"10.1016/j.egypro.2013.11.049","id_4081_yazicioglu_2013"
4113,"10.3390/rs13173341","id_4113_kuck_2021"
4133,"10.5814/j.issn.1674-764x.2020.05.006","id_4133_liu_2020"
4165,"10.1016/j.solmat.2017.08.040","id_4165_luo_2018"
4174,"10.1007/978-3-319-07896-0_41","id_4174_ahmed_2014"
4177,"10.1016/j.enpol.2012.09.064","id_4177_rose_2013"
4248,"10.1016/j.enpol.2009.12.030","id_4248_yeh_2010"
4313,NA,"id_4313_fujita_2015"
4324,"10.1016/j.jclepro.2016.09.115","id_4324_zhou_2017"
4335,NA,"id_4335_ghazali_2021"
4344,"10.3390/buildings12010050","id_4344_dani_2022"
4401,"10.1016/j.apenergy.2019.114128","id_4401_lane_2020"
4430,NA,"id_4430_fluker_2015"
4445,"10.1016/j.tej.2015.12.009","id_4445_godby_2016"
4446,"10.1002/sd.527","id_4446_gunawansa_2014"
4459,"10.1016/j.jclepro.2019.04.375","id_4459_wang_2019"
4477,"10.3390/su11174771","id_4477_sanhuezadurn_2019"
4485,"10.1016/j.egypro.2017.03.1564","id_4485_arild_2017"
4487,NA,"id_4487_viafara_2013"
4510,"10.1139/cjce-2013-0465","id_4510_mohareb_2014"
4616,"10.3390/f9010026","id_4616_iiames_2018"
4660,"10.3390/su9081426","id_4660_guo_2017"
4662,"10.1016/j.biombioe.2012.10.008","id_4662_buratti_2012"
